33
{'SOLIDARIEDADE/SJRP I/FELICIDADE'}
{'SO FRANCISCO'}
{'RENASCER'}
{'SO DEOCLECIANO'}
{'ESTORIL'}
{'CENTRAL'}
{'SANTO ANTNIO'}
{'SOLO SAGRADO'}
{'CENTRAL'}
{'VETORAZZO'}
{'VILA ELVIRA'}
{'ESTORIL'}
{'SANTO ANTNIO'}
{'ESTORIL'}
{'PARQUE INDUSTRIAL'}
{'RENASCER'}
{'ESTORIL'}
{'SOLO SAGRADO'}
{'PARQUE DA CIDADANIA'}
{'VILA MAYOR'}
{'ENGENHEIRO SCHMITT'}
{'ANCHIETA'}
{'SOLO SAGRADO'}
{'LUZ DA ESPERANA'}
{'VILA TONINHO'}
{'SO DEOCLECIANO'}
{'MARIA LCIA'}
{'SO FRANCISCO'}
{'VILA TONINHO'}
{'MARIA LCIA'}
{'SO DEOCLECIANO'}
{'PARQUE INDUSTRIAL'}
{'ESTORIL'}
{'SOLO SAGRADO'}
{'ESTORIL'}
{'JOO PAULO II/JAGUAR'}
{'MARIA LCIA'}
{'SO FRANCISCO'}
{'VETORAZZO'}
{'CIDADE JARDIM'}
{'SO FRANCISCO'}
{'PARQUE INDUSTRIAL'}
{'CAIC'}
{'ESTORIL'}
{'TALHADO'}
{'ESTORIL'}
"{'GABRIELA', 'GONZAGA DE CAMPOS'}"
{'ANCHIETA'}
{'SOLO SAGRADO'}
{'MARIA LCIA'}
{'SANTO ANTNIO'}
{'SOLO SAGRADO'}
{'VETORAZZO'}
"{'TALHADO', 'LEALDADE E AMIZADE'}"
{'MARIA LCIA'}
{'CIDADE JARDIM'}
{'ELDORADO'}
{'MARIA LCIA'}
{'PARQUE INDUSTRIAL'}
{'ESTORIL'}
{'CENTRAL'}
{'GONZAGA DE CAMPOS'}
{'SANTO ANTNIO'}
{'VILA TONINHO'}
{'SO DEOCLECIANO'}
{'JARDIM AMERICANO'}
{'VILA ELVIRA'}
{'ANCHIETA'}
{'SO DEOCLECIANO'}
{'SOLO SAGRADO'}
{'VILA ELVIRA'}
{'LUZ DA ESPERANA'}
{'PARQUE INDUSTRIAL'}
{'PARQUE INDUSTRIAL'}
{'JARDIM AMERICANO'}
{'ESTORIL'}
{'JOO PAULO II/JAGUAR'}
{'SOLIDARIEDADE/SJRP I/FELICIDADE'}
{'FRATERNIDADE'}
{'SANTO ANTNIO'}
{'CAIC'}
{'ESTORIL'}
{'JARDIM AMERICANO'}
{'SANTO ANTNIO'}
{'JOO PAULO II/JAGUAR'}
{'SO DEOCLECIANO'}
{'ANCHIETA'}
{'PARQUE INDUSTRIAL'}
{'SANTO ANTNIO'}
{'ESTORIL'}
{'CIDADE JARDIM'}
{'FRATERNIDADE'}
{'MARIA LCIA'}
{'ESTORIL'}
{'MARIA LCIA'}
